,latitude,longitude,geometry
0,47.603122,-122.333253,POINT (-122.333253 47.603122)
0,40.7237306,-73.9964312,POINT (-73.9964312 40.7237306)
1,37.764726,-122.394523,POINT (-122.394523 37.764726)
2,34.090368,-118.393064,POINT (-118.393064 34.090368)
3,37.48413,-122.169472,POINT (-122.169472 37.48413)
4,37.789634,-122.404052,POINT (-122.404052 37.789634)
5,33.022176,-117.081406,POINT (-117.081406 33.022176)
6,40.757929,-73.985506,POINT (-73.985506 40.757929)
7,40.7464969,-74.0094471,POINT (-74.0094471 40.7464969)
8,37.7768052,-122.4169244,POINT (-122.4169244 37.7768052)
9,53.344104,-6.267494,POINT (-6.267494 53.344104)
10,37.41605,-122.151801,POINT (-122.151801 37.41605)
10,53.344104,-6.267494,POINT (-6.267494 53.344104)
10,40.7557162,-73.9792469,POINT (-73.97924690000001 40.7557162)
11,37.778613,-122.395289,POINT (-122.395289 37.778613)
12,38.926172,-77.245195,POINT (-77.245195 38.926172)
12,40.724604,-73.996876,POINT (-73.996876 40.724604)
12,34.0263021,-118.380954,POINT (-118.380954 34.0263021)
12,42.557958,-83.167884,POINT (-83.167884 42.557958)
13,34.1494713,-118.1327468,POINT (-118.1327468 34.1494713)
14,34.017606,-118.487267,POINT (-118.487267 34.017606)
15,32.902266,-117.20834,POINT (-117.20834 32.902266)
16,37.788482,-122.409173,POINT (-122.409173 37.788482)
17,30.268735,-97.745209,POINT (-97.745209 30.268735)
18,37.480999,-122.173887,POINT (-122.173887 37.480999)
19,37.793148,-122.402567,POINT (-122.402567 37.793148)
20,37.697805,-121.907768,POINT (-121.907768 37.697805)
21,33.429859,-111.938739,POINT (-111.938739 33.429859)
22,37.78976,-122.402524,POINT (-122.402524 37.78976)
23,37.4233896,-122.0899512,POINT (-122.0899512 37.4233896)
24,37.627971,-122.426804,POINT (-122.426804 37.627971)
25,31.046051,34.851612,POINT (34.851612 31.046051)
26,51.518132,-0.131916,POINT (-0.131916 51.518132)
27,40.726155,-73.995625,POINT (-73.995625 40.726155)
28,40.801358,-74.3372,POINT (-74.3372 40.801358)
29,40.722655,-73.99873,POINT (-73.99872999999999 40.722655)
30,37.392936,-122.07948,POINT (-122.07948 37.392936)
31,37.465645,-121.932202,POINT (-121.932202 37.465645)
32,47.617682,-122.357242,POINT (-122.357242 47.617682)
33,37.757758,-122.388243,POINT (-122.388243 37.757758)
34,37.488336,-122.217964,POINT (-122.217964 37.488336)
35,37.559287,-122.302262,POINT (-122.302262 37.559287)
36,37.269175,-119.306607,POINT (-119.306607 37.269175)
37,37.780716,-122.393913,POINT (-122.393913 37.780716)
38,42.375392,-71.118487,POINT (-71.118487 42.375392)
38,37.780134,-122.396744,POINT (-122.396744 37.780134)
39,49.263588,-123.138565,POINT (-123.138565 49.263588)
40,51.808933,6.553452,POINT (6.553452 51.808933)
41,37.421621,-122.137444,POINT (-122.137444 37.421621)
43,48.862825,2.381836,POINT (2.381836 48.862825)
44,37.7870842,-122.4038047,POINT (-122.4038047 37.7870842)
45,37.786183,-122.402195,POINT (-122.402195 37.786183)
46,47.599925,-122.334264,POINT (-122.334264 47.599925)
47,52.3745228,4.8948623,POINT (4.8948623 52.3745228)
48,37.476479,-122.221717,POINT (-122.221717 37.476479)
49,47.620982,-122.359397,POINT (-122.359397 47.620982)
51,40.7516611,-73.9843328,POINT (-73.9843328 40.7516611)
51,33.991101,-118.468707,POINT (-118.468707 33.991101)
51,37.7891086,-122.4016144,POINT (-122.4016144 37.7891086)
51,51.5094731,-0.1356235,POINT (-0.1356235 51.5094731)
52,37.758113,-122.414689,POINT (-122.414689 37.758113)
53,37.484619,-122.206893,POINT (-122.206893 37.484619)
54,37.789268,-122.395184,POINT (-122.395184 37.789268)
55,48.870806,2.34668,POINT (2.34668 48.870806)
56,37.781427,-122.392144,POINT (-122.392144 37.781427)
57,37.782103,-122.401116,POINT (-122.401116 37.782103)
58,37.09024,-95.712891,POINT (-95.712891 37.09024)
59,41.889474,-87.628912,POINT (-87.628912 41.889474)
60,48.856667,2.350987,POINT (2.350987 48.856667)
61,37.762681,-122.400909,POINT (-122.400909 37.762681)
62,37.391502,-122.073463,POINT (-122.073463 37.391502)
64,37.779026,-122.40184,POINT (-122.40184 37.779026)
65,43.090756,-89.522805,POINT (-89.52280500000001 43.090756)
66,47.618599,-122.358484,POINT (-122.358484 47.618599)
67,37.779507,-122.39071,POINT (-122.39071 37.779507)
68,37.393679,-122.079017,POINT (-122.079017 37.393679)
69,37.870744,-122.269259,POINT (-122.269259 37.870744)
70,37.796396,-122.404869,POINT (-122.404869 37.796396)
71,37.437328,-122.159928,POINT (-122.159928 37.437328)
72,37.423258,-122.073635,POINT (-122.073635 37.423258)
73,37.425801,-122.143701,POINT (-122.143701 37.425801)
74,42.350571,-71.076869,POINT (-71.076869 42.350571)
75,37.561877,-122.325248,POINT (-122.325248 37.561877)
76,37.775196,-122.419204,POINT (-122.419204 37.775196)
76,40.7143528,-74.0059731,POINT (-74.00597310000001 40.7143528)
77,37.382162,-122.036301,POINT (-122.036301 37.382162)
78,46.20381,6.139959,POINT (6.139959 46.20381)
79,37.40047,-122.072981,POINT (-122.072981 37.40047)
80,38.030823,-78.48158,POINT (-78.48157999999999 38.030823)
